Unnamed: 0,propagation_type,max_noise,firstPathAmp1,firstPathAmp2,firstPathAmp3,stdNoise,maxGrowthCIR,rxPreamCount,firstPath,LDE_PPINDX,LDE_PPAMPL,first_path_power,first_ratio,index_diff,skewness
2621,0,1852,16677,16929,15392,68,17860,844,745,747,16928,-83.25712538,-4.65419026,-2,-0.633491724
2622,0,1700,16924,16529,11962,60,16296,830,743,746,16923,-83.68374451,-4.828092085,-3,-0.690823003
2623,0,1985,17464,16762,14263,72,18050,873,750,753,17463,-83.61737357,-4.766960023,-3,-0.571154511
2624,0,2311,18002,18114,9661,84,20812,927,746,748,18113,-84.38697885,-5.633621607,-2,-0.706682294
2625,0,1811,16966,16529,11279,64,16659,834,747,750,16965,-83.81573994,-5.014007476,-3,-0.691969573
2626,0,1746,16881,16961,13441,64,17267,848,750,752,16960,-83.56821337,-4.777564478,-2,-0.7058463
2627,0,1921,16275,17721,16173,68,18198,876,751,753,17720,-83.37483208,-4.53008583,-2,0.6960818186731927
2628,0,1643,17543,16917,9137,60,18133,866,749,752,17542,-84.21173598,-5.451174017,-3,-0.692918366
2629,0,1959,16842,17086,15904,72,18532,851,751,753,17085,-83.18555298,-4.671283952,-2,-0.587442094
2630,0,1749,17719,16934,11224,64,18834,888,750,753,17718,-84.12469879,-5.310964399,-3,-0.668301072
2631,0,1744,16774,17007,13555,64,17211,852,745,747,17006,-83.60310239,-4.757470799,-2,-0.69552164
2632,0,1746,18271,16622,16650,72,21414,1039,748,751,18270,-84.62139653,-5.001162827,-3,0.7064070938504794
2633,0,1723,18201,16369,16788,68,21432,944,747,750,18200,-83.81939733,-5.035683715,-3,0.5585766969026909
2634,0,1754,16764,17119,16138,64,18774,857,750,752,17118,-83.21521303,-4.696263991,-2,-0.32306041
2635,0,1723,15835,17255,12932,68,20171,923,744,748,17588,-84.52660932,-5.674948857,-4,-0.391398707
2636,0,2089,16618,16856,14664,76,17191,842,749,751,16855,-83.38145685,-4.633325688,-2,-0.67608529
2637,0,1817,17784,16541,15276,72,19830,911,746,749,17783,-83.80514767,-4.993106538,-3,-0.010742871
2638,0,1746,17196,17171,11170,64,18136,867,750,753,17195,-83.98541132,-5.215543702,-3,-0.707065536
2639,0,1857,17236,18089,13377,68,20667,923,745,747,18088,-84.02560375,-5.279443383,-2,-0.616398296
2640,0,1959,18160,16735,15325,72,20991,936,748,751,18159,-83.92848458,-5.128398152,-3,0.0064800207345948
2641,0,1747,16970,16895,15483,64,18604,872,751,754,16969,-83.4786486,-4.769481469,-3,-0.700735735
2642,0,1750,16250,15395,8368,64,19072,896,749,753,17493,-85.24909982,-6.412001266,-4,-0.676145818
2643,0,1751,17218,18155,12353,64,20531,925,750,752,18154,-84.17935512,-5.385720757,-2,-0.635798602
2644,0,1975,17398,16968,13805,72,18512,880,745,748,17397,-83.73213421,-4.922113443,-3,-0.669092573
2645,0,1852,16882,16608,14721,68,18155,844,746,749,16881,-83.38964706,-4.857859924,-3,-0.664208302
2646,0,1644,16311,16127,8626,60,16062,830,744,747,16310,-84.36616613,-5.447699759,-3,-0.705706237
2647,0,1743,16905,17010,15484,64,18234,850,744,746,17009,-83.2474772,-4.673017456,-2,-0.695053686
2648,0,1752,16220,15917,8827,64,19502,901,748,752,17637,-85.12403502,-6.335429985,-4,-0.702936363
2649,0,1533,17449,16595,10548,56,18880,875,747,750,17448,-84.21461432,-5.539572425,-3,-0.666335586
2650,0,1805,16494,16871,12752,64,17091,835,748,750,16870,-83.63465196,-4.93369646,-2,-0.685363968
2651,0,2297,15949,16379,11035,84,19462,893,749,753,17580,-84.6953831,-5.975327867,-4,-0.690457487
2652,0,2082,17746,16804,13992,76,18945,886,748,751,17745,-83.72555377,-4.956924686,-3,-0.526600046
2653,0,1809,16153,16985,15804,64,16604,834,747,749,16984,-83.16689641,-4.350801907,-2,0.4531603202544248
2654,0,2072,18108,16424,16325,76,21049,921,748,751,18107,-83.68928586,-5.041507198,-3,0.6993500564617329
2655,0,1910,17493,18124,9647,76,22448,945,748,750,18123,-84.66001349,-6.068253116,-2,-0.692931696
2656,0,1752,17417,17842,11034,64,19910,886,747,749,17841,-84.00622683,-5.453364253,-2,-0.697241073
2657,0,1640,17244,16896,11524,60,17291,854,750,753,17243,-83.85225426,-5.006397218,-3,-0.697749633
2658,0,1637,17707,16932,11998,60,18543,881,745,748,17706,-83.95272377,-5.14010485,-3,-0.657608885
2659,0,1860,16398,16043,11265,68,19179,897,746,750,17399,-84.67557009,-5.853080084,-4,-0.694925944
2660,0,1978,16775,16774,12421,72,16531,838,743,745,16774,-83.67939238,-4.802602528,-2,-0.707106655
2661,0,1858,16825,16811,13376,68,16998,845,744,747,16824,-83.58785882,-4.759802154,-3,-0.7070673
2662,0,1742,16900,16939,13380,64,17580,852,749,751,16938,-83.6191315,-4.865627579,-2,-0.706817081
2663,0,1951,16659,16999,14227,72,17955,847,747,749,16998,-83.46899326,-4.858278409,-2,-0.667086971
2664,0,1747,16591,16985,14133,64,17666,847,750,752,16984,-83.4996165,-4.818429818,-2,-0.655756115
2665,0,2054,16985,18281,17292,84,21301,1039,745,747,18280,-84.45642238,-4.813210615,-2,0.5471857402826331
2666,0,1744,16745,17008,15184,64,18275,852,746,748,17007,-83.34669275,-4.761573975,-2,-0.650927793
2667,0,1957,15585,18006,17669,72,19857,918,747,749,18005,-83.58547389,-4.71285589,-2,-0.654933397
2668,0,1848,16899,16986,15438,68,18612,855,746,748,16985,-83.3114508,-4.775158203,-2,-0.699154863
2669,0,1639,17336,16923,11144,60,17958,875,750,753,17335,-84.09077145,-5.198289328,-3,-0.695801922
2670,0,1748,16548,17145,15573,64,18576,856,748,750,17144,-83.33298658,-4.778132573,-2,-0.284347738
2671,0,1632,17731,17330,17879,64,22347,949,749,750,17878,-83.61010796,-4.96207526,-1,-0.497354677
2672,0,2071,17228,18408,12740,76,21751,946,747,749,18407,-84.26797859,-5.530047414,-2,-0.585283955
2673,0,1962,16507,18095,15471,72,19887,914,750,752,18094,-83.74994876,-4.921816844,-2,0.2508076294673363
2674,0,1856,16909,16549,14491,68,17892,846,749,752,16908,-83.45378186,-4.838062755,-3,-0.647014032
